permalink,name,entity_type,category_code,raised_amount_usd,funded_at,funding_round_type,status,country_code,state_code,region,city
/company/cloudmark,Cloudmark,Company,security,23000000,3/3/2010,venture,unknown,USA,CA,SF Bay,san francisco
/company/cloudmark,Cloudmark,Company,security,4500000,7/21/2003,venture,unknown,USA,CA,SF Bay,san francisco
/company/cloudmeter,Cloudmeter,Company,software,5000000,4/27/2012,series-a,unknown,USA,CA,SF Bay,mountain view
/company/cloudmine,CloudMine,Company,software,20000,9/1/2011,angel,unknown,USA,PA,Philadelphia,philadelphia
/company/cloudmine,CloudMine,Company,software,100000,1/13/2012,angel,unknown,USA,PA,Philadelphia,philadelphia
/company/cloudmine,CloudMine,Company,software,505000,3/21/2013,other,unknown,USA,PA,Philadelphia,philadelphia
/company/cloudon,CloudOn,Company,mobile,1800000,10/27/2010,series-a,unknown,USA,CA,SF Bay,palo alto
/company/cloudon,CloudOn,Company,mobile,7700000,9/1/2011,series-a,unknown,USA,CA,SF Bay,palo alto
/company/cloudon,CloudOn,Company,mobile,16000000,6/21/2012,series-b,unknown,USA,CA,SF Bay,palo alto
/company/cloudone,CloudOne,Company,network_hosting,1900000,8/31/2011,venture,unknown,USA,IN,Indianapolis,indianapolis
/company/cloudone,CloudOne,Company,network_hosting,1700000,6/25/2012,series-b,unknown,USA,IN,Indianapolis,indianapolis
/company/cloudopt,CloudOpt,Company,software,840000,1/4/2010,angel,unknown,USA,WA,Seattle,seattle
/company/cloudopt,CloudOpt,Company,software,375000,8/1/2012,angel,unknown,USA,WA,Seattle,seattle
/company/cloudpassage,CloudPassage,Company,security,6500000,4/27/2011,series-a,unknown,USA,CA,SF Bay,san francisco
/company/cloudpassage,CloudPassage,Company,security,14000000,4/11/2012,series-b,unknown,USA,CA,SF Bay,san francisco
/company/cloudpay,CloudPay,Company,NULL,16000000,12/5/2012,series-b,unknown,USA,NC,Raleigh-Durham,raleigh
/company/cloudphysics,CloudPhysics,Company,NULL,2500000,8/23/2012,venture,unknown,USA,CA,SF Bay,mountain view
/company/cloudria,cloudRIA,Company,software,50000,7/1/2013,angel,unknown,USA,WA,Seattle,edmonds
/company/cloudscaling,Cloudscaling,Company,enterprise,10000000,5/22/2013,series-b,unknown,USA,CA,SF Bay,san francisco
/company/cloudshare,CloudShare,Company,enterprise,10000000,12/11/2009,series-b,unknown,USA,CA,SF Bay,san mateo
/company/cloudshare,CloudShare,Company,enterprise,10000000,7/5/2011,venture,unknown,USA,CA,SF Bay,san mateo
/company/cloudshield-technologies,CloudShield Technologies,Company,software,15000000,9/17/2007,venture,acquired,USA,CA,SF Bay,sunnyvale
/company/cloudshield-technologies,CloudShield Technologies,Company,software,10000000,10/28/2005,venture,acquired,USA,CA,SF Bay,sunnyvale
/company/cloudsnap,Cloudsnap,Company,software,18000,1/1/2012,angel,unknown,USA,NV,Reno,reno
/company/cloudsnap,Cloudsnap,Company,software,100000,1/1/2012,angel,unknown,USA,NV,Reno,reno
/company/cloudsnap,Cloudsnap,Company,software,200000,8/1/2012,angel,unknown,USA,NV,Reno,reno
/company/cloudstrategies,CloudStrategies,Company,software,1500000,8/24/2011,series-b,unknown,USA,NJ,Cedar Knolls,cedar knolls
/company/cloudswave,cloudswave,Company,ecommerce,500000,5/28/2013,angel,unknown,USA,DE,Willmington,wilmington
/company/cloudsway,CloudSway,Company,software,1400000,2/11/2013,angel,unknown,USA,WA,Seattle,tacoma
/company/cloudtalk,CloudTalk,Company,web,5200000,1/20/2011,series-a,unknown,USA,CA,SF Bay,san francisco
/company/cloudtran,CloudTran,Company,software,600000,5/23/2011,angel,unknown,USA,CA,SF Bay,pleasanton
/company/cloudvelocity,CloudVelocity,Company,software,5000000,12/13/2012,series-a,unknown,USA,CA,SF Bay,santa clara
/company/cloudvolumes,CloudVolumes,Company,software,21156530,7/1/2013,series-a,unknown,USA,CA,SF Bay,los altos
/company/cloudvu,Cloudvu,Company,network_hosting,1050000,5/21/2013,venture,unknown,USA,UT,Salt Lake City,sandy
/company/cloudvue,Cloudvue,Company,semiconductor,400000,12/6/2012,angel,unknown,USA,CA,SF Bay,sunnyvale
/company/cloupia,Cloupia,Company,software,3532577,12/6/2012,venture,acquired,USA,CA,SF Bay,santa clara
/company/clover,Clover,Company,mobile,5500000,4/13/2011,venture,unknown,USA,CA,SF Bay,mountain view
/company/clover,Clover,Company,mobile,3300000,12/27/2012,venture,unknown,USA,CA,SF Bay,mountain view
/company/cloverleaf-communications,Cloverleaf Communications,Company,public_relations,11000000,6/28/2005,series-c+,acquired,USA,NY,Woodbury,woodbury
/company/clovis-oncology,Clovis Oncology,Company,biotech,145000000,5/26/2009,series-a,ipo,USA,CO,Denver,boulder
/company/cloze,Cloze,Company,web,1200000,4/2/2012,angel,unknown,USA,MA,Boston,cambridge
/company/clrtouch,ClrTouch,Company,mobile,20000,9/1/2011,angel,unknown,USA,NY,New York,brooklyn
/company/club-domains,.Club Domains,Company,web,7000000,5/31/2013,series-b,unknown,USA,FL,Fort Lauderdale,oakland park
